title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
Eyes of Laura Mars,1978,7000000,20000000,104,4,7,5.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The First Great Train Robbery,1978,6000000,13027857,110,2,6.9,4.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Days of Heaven,1978,3000000,3700000,94,2,7.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Blue Collar,1978,1700000,6521083,114,4,6.6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
La Cage aux Folles,1978,1100000,20424259,92,4,7.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heaven Can Wait,1978,15000000,98800000,101,2,6.6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
F.I.S.T.,1978,11000000,20388920,145,2,7,4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
An Unmarried Woman,1978,2515000,24000000,124,4,6.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Buddy Holly Story,1978,1200000,14363400,114,2,7,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Alien,1979,11000000,104931801,117,4,7.1,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apocalypse Now,1979,31500000,150000000,147,4,6.8,4.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rocky II,1979,7000000,85187855,120,2,6.7,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Tin Drum,1979,3000000,17000000,162,4,6.7,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hair,1979,11000000,15313606,121,2,7.6,4.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Muppet Movie,1979,8000000,75200000,97,1,7.6,4.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Lupin the Third: The Castle of Cagliostro,1979,7202188,8194857,102,3,8,4.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Moonraker,1979,34000000,210308099,126,2,6.6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mad Max,1979,350000,100000000,91,4,6.6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Star Trek: The Motion Picture,1979,44000000,139346243,131,1,6.4,4.4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kramer vs. Kramer,1979,8000000,106260000,105,2,7.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
...And Justice for All,1979,6000000,33300000,119,4,7,5.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Meatballs,1979,1207520,43046003,92,2,6.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Manhattan,1979,9000000,40194067,96,4,7.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Tess,1979,12000000,20101247,172,2,7.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Black Stallion,1979,2700000,37799643,118,1,7.2,4.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
All That Jazz,1979,12000000,37823676,123,4,7.8,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Jerk,1979,4000000,100000000,94,4,7.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The China Syndrome,1979,5900000,51718367,122,2,7.4,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Brood,1979,1355000,5000000,92,4,6.7,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phantasm,1979,300000,11988469,89,4,6.5,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Breaking Away,1979,2300000,20000000,101,2,6.9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
When a Stranger Calls,1979,1500000,25000000,97,4,6.4,3.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Norma Rae,1979,4500000,22228000,110,2,7.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Great Santini,1979,4000000,4700000,115,2,7.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Electric Horseman,1979,12500000,61801971,122,2,6.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Going in Style,1979,5500000,30000000,97,2,6.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
The Rose,1979,9250000,29174648,125,4,6.9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
The Empire Strikes Back,1980,18000000,538400000,124,2,7,8.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
