title,release_year,budget,runtime,mpaa_rating_numeric,metascore,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
The Shining,1980,19000000,144,4,68,8.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Popeye,1980,20000000,114,2,64,6.8,4.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Airplane!,1980,3500000,88,2,78,7.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Elephant Man,1980,5000000,124,2,78,7.4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flash Gordon,1980,35000000,111,2,58,6.5,3.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Blue Lagoon,1980,4500000,104,4,31,6.5,3.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Superman II,1980,54000000,127,2,83,5.9,4.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Changeling,1980,7600000,105,4,70,6.6,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Heaven's Gate,1980,44000000,218,4,57,7.2,4.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Gods Must Be Crazy,1980,5000000,109,2,73,7.3,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Somewhere in Time,1980,5100000,103,2,29,7.2,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Fame,1980,8500000,134,4,58,7.3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Final Countdown,1980,12000000,103,2,51,6.4,4.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kagemusha,1980,6000000,180,2,84,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Dressed to Kill,1980,6500000,105,4,74,6.7,4.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Blues Brothers,1980,27000000,133,4,60,7.5,4.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Raging Bull,1980,18000000,129,4,90,7.6,8.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Fog,1980,1000000,90,4,55,6.9,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Smokey and the Bandit II,1980,17000000,100,2,41,5.6,3.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Ordinary People,1980,6000000,124,4,86,7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battle Beyond the Stars,1980,2000000,104,2,59,5.5,3.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Nine to Five,1980,10000000,110,2,58,6.9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Altered States,1980,15000000,102,4,58,6.5,4.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Long Riders,1980,10000000,99,4,68,6.3,6.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Private Benjamin,1980,15000000,110,4,59,6.6,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Coal Miner's Daughter,1980,15000000,125,2,84,6.7,6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Brubaker,1980,9000000,125,4,54,7.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Any Which Way You Can,1980,15000000,115,2,51,6.1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Atlantic City,1980,7200000,104,4,85,7.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Xanadu,1980,20000000,96,2,31,5.3,3.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
